question,answer
What is the output of code -s?,"Version:          Code 1.96.4 (cd4ee3b1c348a13bafd8f9ad8060705f6d4b9cba, 2025-01-16T00:16:19.038Z)
OS Version:       Windows_NT x64 10.0.26100
CPUs:             11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz (8 x 3110)
Memory (System):  7.79GB (2.20GB free)
VM:               0%
Screen Reader:    no
Process Argv:     --crash-reporter-id 5dda76ba-44d7-4b61-bbc5-d9e73b0082d5
GPU Status:       2d_canvas:                              enabled
                  canvas_oop_rasterization:               enabled_on
                  direct_rendering_display_compositor:    disabled_off_ok
                  gpu_compositing:                        enabled
                  multiple_raster_threads:                enabled_on
                  opengl:                                 enabled_on
                  rasterization:                          enabled
                  raw_draw:                               disabled_off_ok
                  skia_graphite:                          disabled_off
                  video_decode:                           enabled
                  video_encode:                           enabled
                  vulkan:                                 disabled_off
                  webgl:                                  enabled
                  webgl2:                                 enabled
                  webgpu:                                 enabled
                  webnn:                                  disabled_off

CPU %   Mem MB     PID  Process
    0      123   14072  code main
    0      179    2268  extensionHost [1]
    0      115    7956  ptyHost
    0       70    5872       C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\Amala Natarajan\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0       71    7728       C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""c:\Users\Amala Natarajan\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0        9   12320         C:\WINDOWS\system32\cmd.exe /c """"C:\Users\Amala Natarajan\AppData\Local\Programs\Microsoft VS Code\bin\code.cmd"" -s""  
    0      104   17524           electron-nodejs (cli.js )
    2      134   18216             ""C:\Users\Amala Natarajan\AppData\Local\Programs\Microsoft VS Code\Code.exe"" -s
    0       85    5976               crashpad-handler
    0      119   14100               gpu-process
    0       91   17412               utility-network-service
    0       10   11460       conpty-agent
    0       10   12588       conpty-agent
    0      192   11172  window [1] (Welcome - Visual Studio Code)
    0      101   14912  shared-process
    0       51   15636     utility-network-service
    0       90   15924  fileWatcher [1]
    0       36   16952     crashpad-handler
    1      155   18136     gpu-process"
"What is the JSON output of the command? (Paste only the JSON body, not the headers)","{     ""args"": {         ""email"": ""24ds3000028@ds.study.iitm.ac.in""     },     ""headers"": {         ""Accept"": ""*/*"",         ""Accept-Encoding"": ""gzip, deflate"",         ""Host"": ""httpbin.org"",         ""User-Agent"": ""HTTPie/3.2.4"",         ""X-Amzn-Trace-Id"": ""Root=1-678e71e8-0dd545f01ec7afc045b630df""     },     ""origin"": ""110.224.93.74"",     ""url"": ""https://httpbin.org/get?email=24ds3000028%40ds.study.iitm.ac.in"" }"
What is the output of the command?,09fb45945391e4db33f2ce8b6a5afa9b99b40b1133b0356fdd40fffde2064426
"=SUM(ARRAY_CONSTRAIN(SEQUENCE(100, 100, 10, 8), 1, 10)) 
What is the result?",460
"=SUM(TAKE(SORTBY({5,0,1,11,15,3,5,2,15,10,8,2,12,12,8,11}, {10,9,13,2,11,8,16,14,7,15,5,4,6,1,3,12}), 1, 13))
What is the result?",103
"Just above this paragraph, there's a hidden input with a secret value.
What is the value in the hidden input?",m5c5y3w1t8
How many Wednesdays are there in the date range 1985-12-06 to 2013-09-26?,1451
"What is the value in the ""answer"" column of the CSV file?",8e325
"Let's make sure you know how to use JSON. Sort this JSON array of objects by the value of the age field. In case of a tie, sort by the name field. Paste the resulting JSON below without any spaces or newlines.

[{""name"":""Alice"",""age"":60},{""name"":""Bob"",""age"":49},{""name"":""Charlie"",""age"":87},{""name"":""David"",""age"":94},{""name"":""Emma"",""age"":4},{""name"":""Frank"",""age"":12},{""name"":""Grace"",""age"":96},{""name"":""Henry"",""age"":53},{""name"":""Ivy"",""age"":34},{""name"":""Jack"",""age"":59},{""name"":""Karen"",""age"":8},{""name"":""Liam"",""age"":24},{""name"":""Mary"",""age"":22},{""name"":""Nora"",""age"":66},{""name"":""Oscar"",""age"":90},{""name"":""Paul"",""age"":67}]
Sorted JSON:","[{""name"":""Emma"",""age"":4},{""name"":""Karen"",""age"":8},{""name"":""Frank"",""age"":12},{""name"":""Mary"",""age"":22},{""name"":""Liam"",""age"":24},{""name"":""Ivy"",""age"":34},{""name"":""Bob"",""age"":49},{""name"":""Henry"",""age"":53},{""name"":""Jack"",""age"":59},{""name"":""Alice"",""age"":60},{""name"":""Nora"",""age"":66},{""name"":""Paul"",""age"":67},{""name"":""Charlie"",""age"":87},{""name"":""Oscar"",""age"":90},{""name"":""David"",""age"":94},{""name"":""Grace"",""age"":96}]"
What's the result when you paste the JSON at tools-in-data-science.pages.dev/jsonhash and click the Hash button?,89414c334ec8aea82051795c21b709fd0a6cbaa32803707b6715b1a7bb0e5926
